UAB(p.u.),UFD(V),IFD(A)
1.1555,-0.7307,-1.9469
10.12,9.4808,41.956
15.082,14.818,65.181
19.937,19.837,87.183
24.872,24.681,109.33
29.995,29.913,132.39
34.871,34.823,154.09
39.849,39.736,176.26
49.867,49.972,222.1
60.01,60.532,269.98
70.209,72.006,321.24
80.148,83.611,375
85.166,90.466,404.81
89.743,96.883,434.65
94.709,105.17,470.05
99.655,113.73,510.46
102.2,119.22,534.56
104.65,125.26,560.05
107.21,131.51,590.37
109.66,138.36,621.08
112.19,146.94,658.21
114.76,155.36,697.08
