UAB(p.u.),UFD(V),IFD(A)
0.6645,0.8785,0.2666
0.6675,0.8488,0.1468
10.273,15.694,96.592
15.525,16.789,139.06
20.031,20.657,180.43
25.143,26.013,227.25
30.077,30.409,271.11
35.122,35.525,316.37
39.893,40.178,360.6
45.493,45.48,411.27
50.508,50.405,456.86
55.407,55.131,501.18
60.459,60.198,549.27
65.167,64.948,594.55
70.69,70.971,650.28
75.275,75.771,693.56
81.406,83.003,764.38
86.352,89.068,824.47
90.864,94.779,878.97
95.453,102.43,943.32
100.55,111.62,1032.3
105.48,123.12,1137.7
105.51,123.3,1138.4
