Ug,Uref,dU,UFD,IFD,Uavr,UFDB,UTN,STN,Utk,UFN,IFN,RFDB,k,h,UL,PID_P
0.399,0.4172,0.0182,69.57,643.98,0.118586846,223.5,0.983,6,7.48,455.9,3439.8,0.132536775,7.375,-0.012,0.571,5
0.4994,0.5206,0.0212,86.89,810.35,0.148217121,要填,要填,要填,要填,要填,要填,,,,要填,要填
0.5992,0.6249,0.0257,103.3,983.47,0.176565135,气隙线上励磁电压,励磁变低压侧额定电压kV,励磁变容量MW,励磁变短路电抗,额定励磁电压,额定励磁电流,,,,他励时励磁变低压侧电压,缩小后的PID比例系数
0.6987,0.7281,0.0294,121.99,1165.86,0.208589833,,,,,,,,,,,
0.7985,0.8332,0.0347,141.89,1370.25,0.242868442,,,,,,,,,,,
0.849,0.886,0.037,152.9,1480.85,0.261789656,,,,,,,,,,,
0.8985,0.9386,0.0401,165.17,1607.98,0.282944872,,,,,,,,,,,
0.9482,0.9918,0.0436,180.26,1750.1,0.308710023,,,,,,,,,,,
0.9984,1.0453,0.0469,195.29,1907.35,0.334650868,,,,,,,,,,,
要填,要填,,要填,要填,,,,,,,,,,,,
机端电压,电压给定,,励磁电压,励磁电流,,,,,,,,,,,,
