parameters,value,UAB,UFD,IFD
STN,7200.0,0.0031544578893079895,0.8488,0.1468
LinearScale,0.45,0.00312445788930799,0.8785,0.2666
Uk,0.0802,0.09920945788930799,15.694,96.592
ULN,880.0,0.151729457889308,16.789,139.06
XcReal,0.00862,0.196789457889308,20.657,180.43
XcRealEqual,0.00823,0.247909457889308,26.013,227.25
XcpuEqual,0.06376,0.297249457889308,30.409,271.11
IFDN,2756.0,0.34769945788930795,35.525,316.37
UFDN,356.0,0.395409457889308,40.178,360.6
IFDB_std,913.119,0.451409457889308,45.48,411.27
UFDB_std,117.95,0.501559457889308,50.405,456.86
KFD_std,10.072,0.550549457889308,55.131,501.18
UFDB_LL,97.8861,0.6010694578893081,60.198,549.27
KFD_LL,11.2705,0.648149457889308,64.948,594.55
a,1.0,0.703379457889308,70.971,650.28
b,0.12898,0.7492294578893081,75.771,693.56
n,8.12358,0.810539457889308,83.003,764.38
SG100,0.12898,0.8599994578893081,89.068,824.47
SG120,0.47271,0.905119457889308,94.779,878.97
Rising1Ut,0.59635,0.951009457889308,102.43,943.32
Rising1Ufd,657.96,1.001979457889308,111.62,1032.3
Rising1Ifd,1739.6,1.0512794578893079,123.12,1137.7
Rising2Ut,0.6857,1.051579457889308,123.3,1138.4
Rising2Ufd,753.174,,,
Rising2Ifd,2193.74,,,
Falling1Ut,0.57285,,,
Falling1Ufd,-351.56,,,
Falling1Ifd,3.662,,,
Falling2Ut,0.59082,,,
Falling2Ufd,-239.28,,,
Falling2Ifd,3.662,,,
Rising1Angle,18.3916,,,
Rising2Angle,18.7831,,,
Falling1Angle,121.1,,,
Falling2Angle,109.929,,,
AngleAVGmin,18.5874,,,
AngleAVGmax,115.514,,,
Umax,9.54668,,,
Umin,-4.3385,,,
